uid1,uid2,ds,dt,tile_hash,dist_apart,time_diff,lat1,lat2,lon1,lon2,t1,t2
000,015,1000,1200,lat39.9836750089982_lon116.3101852075176_t1224729600,122.95799366631393,214.00000405311584,39.984702,39.985045,116.318417,116.319789,1224730384.000001,1224730169.999997
000,001,1000,1200,lat40.00167140971805_lon116.3101852075176_t1224758400,781.8822290831824,247.00000095367432,40.008799,40.001769,116.32185,116.321652,1224758731.000003,1224758978.000004
000,003,1000,1200,lat40.00167140971805_lon116.3101852075176_t1224813600,65.0469572264404,452.0000009536743,40.008304,40.007732,116.319876,116.319716,1224814198.999999,1224813746.999998
000,004,1000,1200,lat40.00167140971805_lon116.3101852075176_t1224813600,69.60056578242505,260.0000030994415,40.008304,40.00818,116.319876,116.320677,1224814198.999999,1224813938.999996
003,004,1000,1200,lat40.00167140971805_lon116.3101852075176_t1224813600,95.81635767446286,191.9999978542328,40.007732,40.00818,116.319716,116.320677,1224813746.999998,1224813938.999996
000,003,1000,1200,lat40.00167140971805_lon116.32187065132273_t1224813600,89.18093405907632,546.9999980926514,40.008755,40.007953,116.321897,116.321889,1224814504.0,1224813957.000002
000,004,1000,1200,lat40.00167140971805_lon116.32187065132273_t1224813600,112.17913332742452,545.0000019073486,40.008755,40.007766,116.321897,116.322157,1224814504.0,1224813958.999998
003,004,1000,1200,lat40.00167140971805_lon116.32187065132273_t1224813600,30.87684108940554,1.9999961853027344,40.007953,40.007766,116.321889,116.322157,1224813957.000002,1224813958.999998
000,001,1000,1200,lat39.992673209358124_lon116.32187065132273_t1225107600,215.86274449797403,110.00000405311584,39.994622,39.992695,116.326757,116.32645,1225108489.000003,1225108378.999999
000,009,1000,1200,lat39.992673209358124_lon116.32187065132273_t1225107600,403.7509048847858,887.0,39.994622,39.997311,116.326757,116.329942,1225108489.000003,1225107602.000003
001,009,1000,1200,lat39.992673209358124_lon116.32187065132273_t1225107600,593.2462844044048,776.9999959468842,39.992695,39.997311,116.32645,116.329942,1225108378.999999,1225107602.000003
000,001,1000,1200,lat40.00167140971805_lon116.3101852075176_t1225108800,561.061921703429,353.99999809265137,40.008796,40.003764,116.321834,116.321348,1225109153.999998,1225108800.0
000,003,1000,1200,lat40.00167140971805_lon116.3101852075176_t1225170000,290.04098890899417,935.9999969005585,40.007635,40.005644,116.319636,116.321836,1225170181.999999,1225171117.999996
000,004,1000,1200,lat39.992673209358124_lon116.32187065132273_t1225272000,318.7706660621347,553.0000030994415,39.994238,39.992687,116.326786,116.323639,1225272097.999996,1225272650.999999
000,005,1000,1200,lat39.992673209358124_lon116.32187065132273_t1225272000,392.42691993456515,741.0000009536743,39.994238,39.99775,116.326786,116.326332,1225272097.999996,1225272838.999997
000,008,1000,1200,lat39.992673209358124_lon116.32187065132273_t1225272000,405.75208210456947,97.99999499320984,39.994238,39.995733,116.326786,116.331131,1225272097.999996,1225272000.000001
004,005,1000,1200,lat39.992673209358124_lon116.32187065132273_t1225272000,607.9257529026961,187.9999978542328,39.992687,39.99775,116.323639,116.326332,1225272650.999999,1225272838.999997
004,008,1000,1200,lat39.992673209358124_lon116.32187065132273_t1225272000,722.5289887496041,650.9999980926514,39.992687,39.995733,116.323639,116.331131,1225272650.999999,1225272000.000001
005,008,1000,1200,lat39.992673209358124_lon116.32187065132273_t1225272000,466.2817477212011,838.9999959468842,39.99775,39.995733,116.326332,116.331131,1225272838.999997,1225272000.000001
000,008,1000,1200,lat39.97467680863827_lon116.32187065132273_t1225272000,447.3714373673166,193.0,39.981814,39.983564,116.322374,116.327102,1225272627.999999,1225272434.999999
000,014,1000,1200,lat39.97467680863827_lon116.32187065132273_t1225272000,1202.5974311468976,430.9999978542328,39.981814,39.975135,116.322374,116.3334749,1225272627.999999,1225273058.999997
008,014,1000,1200,lat39.97467680863827_lon116.32187065132273_t1225272000,1083.198651436592,623.9999978542328,39.983564,39.975135,116.327102,116.3334749,1225272434.999999,1225273058.999997
000,004,1000,1200,lat39.9836750089982_lon116.32187065132273_t1225272000,221.97251850990548,151.99999499320984,39.991364,39.991916,116.326605,116.324101,1225272637.999996,1225272486.000001
000,005,1000,1200,lat39.9836750089982_lon116.32187065132273_t1225272000,140.41844766335572,391.0000030994415,39.991364,39.992623,116.326605,116.326477,1225272637.999996,1225273028.999999
000,008,1000,1200,lat39.9836750089982_lon116.32187065132273_t1225272000,418.43275989837844,617.0,39.991364,39.992618,116.326605,116.331236,1225272637.999996,1225272020.999996
000,015,1000,1200,lat39.9836750089982_lon116.32187065132273_t1225272000,868.5235242423759,317.99999499320984,39.991364,39.984436,116.326605,116.321897,1225272637.999996,1225272320.000001
004,005,1000,1200,lat39.9836750089982_lon116.32187065132273_t1225272000,217.14184811229745,542.9999980926514,39.991916,39.992623,116.324101,116.326477,1225272486.000001,1225273028.999999
004,008,1000,1200,lat39.9836750089982_lon116.32187065132273_t1225272000,612.821692924535,465.00000500679016,39.991916,39.992618,116.324101,116.331236,1225272486.000001,1225272020.999996
004,015,1000,1200,lat39.9836750089982_lon116.32187065132273_t1225272000,852.6697363879273,166.0,39.991916,39.984436,116.324101,116.321897,1225272486.000001,1225272320.000001
005,008,1000,1200,lat39.9836750089982_lon116.32187065132273_t1225272000,405.41702441631475,1008.0000030994415,39.992623,39.992618,116.326477,116.331236,1225273028.999999,1225272020.999996
005,015,1000,1200,lat39.9836750089982_lon116.32187065132273_t1225272000,990.450115100532,708.9999980926514,39.992623,39.984436,116.326477,116.321897,1225273028.999999,1225272320.000001
008,015,1000,1200,lat39.9836750089982_lon116.32187065132273_t1225272000,1208.6193533142468,299.00000500679016,39.992618,39.984436,116.331236,116.321897,1225272020.999996,1225272320.000001
000,003,1000,1200,lat39.97467680863827_lon116.32187065132273_t1225273200,705.4265129736846,13.000003099441528,39.977335,39.983664,116.327358,116.326788,1225273203.0,1225273216.000003
000,004,1000,1200,lat39.97467680863827_lon116.32187065132273_t1225273200,706.2710872912423,17.99999690055847,39.977335,39.983641,116.327358,116.326366,1225273203.0,1225273220.999997
000,008,1000,1200,lat39.97467680863827_lon116.32187065132273_t1225273200,527.0409718246859,1.9999959468841553,39.977335,39.980315,116.327358,116.332168,1225273203.0,1225273201.000004
000,014,1000,1200,lat39.97467680863827_lon116.32187065132273_t1225273200,270.0025389201253,60.99999809265137,39.977335,39.9751983,116.327358,116.3288633,1225273203.0,1225273263.999998
003,004,1000,1200,lat39.97467680863827_lon116.32187065132273_t1225273200,36.04551538018863,4.999993801116943,39.983664,39.983641,116.326788,116.326366,1225273216.000003,1225273220.999997
003,008,1000,1200,lat39.97467680863827_lon116.32187065132273_t1225273200,590.5909137648914,14.999999046325684,39.983664,39.980315,116.326788,116.332168,1225273216.000003,1225273201.000004
003,014,1000,1200,lat39.97467680863827_lon116.32187065132273_t1225273200,957.8071394620383,47.99999499320984,39.983664,39.9751983,116.326788,116.3288633,1225273216.000003,1225273263.999998
004,008,1000,1200,lat39.97467680863827_lon116.32187065132273_t1225273200,617.3780462587794,19.999992847442627,39.983641,39.980315,116.326366,116.332168,1225273220.999997,1225273201.000004
004,014,1000,1200,lat39.97467680863827_lon116.32187065132273_t1225273200,962.59825031185,43.000001192092896,39.983641,39.9751983,116.326366,116.3288633,1225273220.999997,1225273263.999998
008,014,1000,1200,lat39.97467680863827_lon116.32187065132273_t1225273200,634.8200507895892,62.99999403953552,39.980315,39.9751983,116.332168,116.3288633,1225273201.000004,1225273263.999998
000,003,1000,1200,lat39.96567860827834_lon116.32187065132273_t1225273200,69.31549263179177,23.0,39.974372,39.974504,116.327607,116.326812,1225273417.999998,1225273440.999998
000,004,1000,1200,lat39.96567860827834_lon116.32187065132273_t1225273200,59.56042861237438,23.0,39.974372,39.974522,116.327607,116.326936,1225273417.999998,1225273440.999998
000,016,1000,1200,lat39.96567860827834_lon116.32187065132273_t1225273200,599.7672191105299,214.99999809265137,39.974372,39.970622,116.327607,116.332666,1225273417.999998,1225273203.0
003,004,1000,1200,lat39.96567860827834_lon116.32187065132273_t1225273200,10.754189313709368,0.0,39.974504,39.974522,116.326812,116.326936,1225273440.999998,1225273440.999998
003,016,1000,1200,lat39.96567860827834_lon116.32187065132273_t1225273200,659.6787805031585,237.99999809265137,39.974504,39.970622,116.326812,116.332666,1225273440.999998,1225273203.0
004,016,1000,1200,lat39.96567860827834_lon116.32187065132273_t1225273200,653.0523945935249,237.99999809265137,39.974522,39.970622,116.326936,116.332666,1225273440.999998,1225273203.0
000,004,1000,1200,lat39.992673209358124_lon116.32187065132273_t1225706400,206.94931980390686,32.00000286102295,39.999976,40.001668,116.326565,116.325553,1225707215.999999,1225707248.000002
000,005,1000,1200,lat39.992673209358124_lon116.32187065132273_t1225768800,417.81713774820446,566.0000071525574,39.999915,40.000539,116.322019,116.326856,1225769383.000003,1225768816.999996
000,004,1000,1200,lat39.992673209358124_lon116.32187065132273_t1226280000,480.6288627100319,884.0000009536743,39.997726,40.001604,116.32648,116.323988,1226280996.999999,1226280112.999998
000,012,1000,1200,lat39.9836750089982_lon116.32187065132273_t1226280000,995.351252565641,768.0000009536743,39.992602,39.983688,116.325924,116.326991,1226281192.000004,1226280424.000003
000,014,1000,1200,lat39.97467680863827_lon116.32187065132273_t1226281200,610.4278345718055,53.00000596046448,39.983496,39.9795783,116.326987,116.3219683,1226281512.000004,1226281458.999998
000,014,1000,1200,lat39.96567860827834_lon116.32187065132273_t1226281200,104.92325791699056,209.99999499320984,39.973624,39.974565,116.331727,116.3318183,1226281906.999999,1226281697.000004
000,062,1000,1200,lat39.96567860827834_lon116.32187065132273_t1226281200,1183.9275536398377,587.0000021457672,39.973624,39.9660583,116.331727,116.3219516,1226281906.999999,1226281319.999997
014,062,1000,1200,lat39.96567860827834_lon116.32187065132273_t1226281200,1265.5818525954674,377.0000071525574,39.974565,39.9660583,116.3318183,116.3219516,1226281697.000004,1226281319.999997
000,062,1000,1200,lat39.96567860827834_lon116.32187065132273_t1226287200,1034.66677454021,501.9999928474426,39.974597,39.9663333,116.327904,116.333485,1226287926.999997,1226287425.000004
000,042,1000,1200,lat39.9836750089982_lon116.32187065132273_t1226288400,408.5447979332995,261.00000500679016,39.988209,39.9845349,116.327035,116.3270549,1226288401.999998,1226288663.000003
000,015,1000,1200,lat39.992673209358124_lon116.32187065132273_t1226456400,63.79413575670526,599.000002861023,39.995805,39.995295,116.326236,116.325893,1226457003.000001,1226456403.999998
000,015,1000,1200,lat39.992673209358124_lon116.32187065132273_t1226457600,30.629928553049947,2.000005006790161,39.999575,39.99932,116.326028,116.325892,1226457602.999997,1226457605.000002
000,003,1000,1200,lat40.00167140971805_lon116.32187065132273_t1226461200,850.675913048505,999.0,40.009142,40.001721,116.322129,116.324556,1226461203.0,1226462202.0
000,003,1000,1200,lat40.00167140971805_lon116.32187065132273_t1226463600,878.8845722535566,714.9999940395355,40.002314,40.010187,116.323109,116.322196,1226464371.999996,1226463657.000002
000,003,1000,1200,lat39.992673209358124_lon116.32187065132273_t1226463600,292.1655356543593,68.99999904632568,40.001598,40.001663,116.323275,116.326704,1226464391.999998,1226464322.999999
000,009,1000,1200,lat39.992673209358124_lon116.32187065132273_t1226464800,563.2597978461188,387.0000030994415,39.999589,39.995219,116.3246,116.327944,1226465049.000001,1226465436.000004
000,003,1000,1200,lat40.00167140971805_lon116.32187065132273_t1226558400,1213.320026997849,580.9999969005585,40.010313,40.003133,116.322496,116.333223,1226558983.999997,1226558403.0
000,005,1000,1200,lat40.00167140971805_lon116.32187065132273_t1226584800,639.9608540372213,963.0000050067902,40.007289,40.001785,116.322258,116.324454,1226584965.999998,1226585929.000003
000,003,1000,1200,lat40.00167140971805_lon116.3101852075176_t1226626800,2.9389012815863484,728.9999918937683,40.007672,40.007649,116.31966,116.319677,1226627574.999996,1226626846.000004
000,003,1000,1200,lat39.992673209358124_lon116.32187065132273_t1226626800,278.1011731235176,513.999993801117,39.999926,40.001504,116.321983,116.324516,1226627914.999997,1226627401.000003
000,009,1000,1200,lat39.992673209358124_lon116.32187065132273_t1226634000,457.36042280220835,360.00000190734863,39.999897,39.99623,116.32519,116.327622,1226634593.0,1226634953.000002
000,005,1000,1200,lat40.00167140971805_lon116.3101852075176_t1226635200,659.1684775343801,990.9999988079071,40.009342,40.003414,116.321762,116.321792,1226635200.000003,1226636191.000002
000,005,1000,1200,lat40.00167140971805_lon116.32187065132273_t1226635200,837.326267366071,831.0000030994415,40.009213,40.002451,116.32191,116.326236,1226635204.999997,1226636036.0
000,005,1000,1200,lat40.00167140971805_lon116.3101852075176_t1226637600,679.160832960578,56.99999785423279,40.010054,40.005367,116.321753,116.31664,1226637742.999997,1226637685.999999
000,096,1000,1200,lat40.00167140971805_lon116.32187065132273_t1226637600,64.54237471631916,144.99999690055847,40.009825,40.009943,116.321881,116.322623,1226637747.999999,1226637892.999996
000,004,1000,1200,lat40.00167140971805_lon116.32187065132273_t1226646000,1139.1828358047928,94.00000309944153,40.007375,40.001813,116.321975,116.333207,1226646238.0,1226646143.999997
000,009,1000,1200,lat39.992673209358124_lon116.32187065132273_t1226656800,615.0550750093587,876.0000009536743,39.998875,39.998623,116.324514,116.331727,1226657676.000004,1226656800.000003
000,005,1000,1200,lat40.00167140971805_lon116.3101852075176_t1226710800,269.8813847448436,201.99999403953552,40.007441,40.009339,116.319807,116.321782,1226710893.000004,1226711094.999998
